Competition	Year
EZ LCM Sectionals (Southern Region)	2016
NCSA Summer Swimming Championship	2016
YMCA Long Course National Championships	2016
Southern Zone Senior Championships	2016
Hawaiian Swimming Age Group LCM Championship	2016
EMU Men's Last Chance Meet-LC	2016
2016 Indiana Spring Senior State Champioship	2016
Florida Swimming Senior LCM Championships	2016
Speedo Champions Series (Austin)	2016
2016 FL All-Florida Sr. Circuit GCST	2016
2016 NCSA Spring Championship Time Trials	2016
2016 CA SCS/RAA Summer J.O. Championships	2016
2016 MN AQJT Aquajets Summer Invitational	2016
Rose Bowl Post-CIF LCM Invitational	2016
Eastern Zone Senior Long Course Championship	2016
2016 Dolfin Junior National Championship Cup	2016
ECAC Long Course Invitational	2016
Georgia Senior State LCM Championship	2016
2016 SO CAL June Age Group Invitational	2016
FL SFTL International	2016
Delta State Christmas Invitational	2016
Louisiana Long Course State Championships	2016
North Carolina Long Course Senior Championship	2016
2016 Florida Gulf Senior LCM Championships	2016
Colorado LCM State Championships	2016
Southern Zone Age Group Championships	2016
Lake Erie Senior Championships	2016
BAC CeraVe Invitational	2016
Irish Long Course Championships 2016	2016
Wisconsin 13 & Over Long Course State Championship	2016
Eastern Zone Championships	2016
Cornell vs. Yale	2016
Western Zone Senior Championships	2016
Minnesota Senior State LCM Championships	2016
67th Annual Husky Invitational (College Results)	2016
Southeastern LCM Championships	2016
North American Challenge	2016
2016 ST ASC Tax Refund Round U	2016
Niagara LSC LCM Championships	2016
Illinois Senior LCM Championships	2016
2016 ST CBA Schlotsky's Summer	2016
SPA - JULY 1,2,3 2016	2016
OH AP SWOYSL LC Championships	2016
South Carolina State LCM Championships	2016
Maryland LCM State Championships	2016
Adirondack Long Course Championships	2016
2016 ST TXLA Long Course Kick Off	2016
2016 CO Grand Junction Invite	2016
CA MISSION VIEJO SUMMER J	2016
MN HOP Long Course Qualif	2016
2016-2017 Southland Long Cours	2016
2016 Nunawading Long Course Me	2016
PV LC 14&U Championships	2016
2016 CM TYR Summer Classic	2016
Air Capital Classic	2016
2016 PV Machine Long Course Cl	2016
Michigan State vs. Iowa, Notre Dame	2016
2016 ST AAAA NS George Block Invitational	2016
2016 PV SNOW LC Spring Classic	2016
MT MAC Firecracker Classic	2016
Texas Age Group Swimming Long Course Championships	2016
2016 OH CM Pepsi Cola Spring I	2016
Colgate vs. Boston University	2016
YMCA LCY Nationals - TIme Trials	2016
MT Summer LC State Champi	2016
2016 SI CAST 11 & OVER AB MEET	2016
Arkansas State Championsh	2016
MR Metro Junior Olympics	2016
2016 AAAA LC #2 Unclassified	2016
2016 LD Champs	2016
1st Cyprus International Masters Swim Meet	2016
2016 Spring Splash Invitationa	2016
2016 Alaska Senior Champs	2016
Merlion Sprint Festival 2016	2016
EFSL Championships 2016	2016
2016 Thunderbolt June Open	2016
Third Coast Invitational hosted by PEAK	2016
Ohio State Invitational	2016
17th FINA World Championships	2017
2017 Hancock Prospecting Australian Championships	2017
Phillips 66 Summer National Championships	2017
Arena Pro Swim Series - Atlanta	2017
6th FINA World Junior Championships	2017
Swimcup Eindhoven	2017
SA National Aquatic Championship	2017
2017 Arena Pro Swim Series - Austin	2017
Arena Pro Swim Series Austin	2017
Arena Pro Swim Series - Indianapolis	2017
2017 Arena Pro Swim Series	2017
Arena Pro Swim Series - Santa Clara	2017
GHF Australian Age Swimming Championships	2017
MR Speedo Junior National Championships	2017
Eric Namesnik Memorial Invitational	2017
Victorian Open Championships	2017
Arena Pro Swim Series - Mesa	2017
2017 Canadian Swimming Championships	2017
CA Speedo Grand Challenge	2017
KZNA Premier Champs & Commonwealth Trials	2017
Fran Crippen Swim Meet of Champions LCM	2017
