Competition	Year
2019 MV TSA Voorhees-Maxfield	2019
FL BSS 50	2019
PN IST Spring Open A-3 Me	2019
CT GRYM June Invitational	2019
AD SHRK Sharks Invitational	2019
OH CLPR DAVID WEBB	2019
MR LIAC Summertime Classic	2019
FS BSS Bolles School Sharks May	2019
NT MARS Open LC Invitational	2019
5th Annual Karen Hohne Memorial	2019
Ohio Swimming Junior Olympics	2019
2019 GU Bay Area Invitational	2019
NJ HACY Jeff Lowe Summer Fun Meet	2019
FL SYS Sharks Long Course January Inv	2019
CT CDOG June Distance Meet	2019
MV TSA Beach Bash at Blaisdell	2019
AD Long Course Champs	2019
MA NLAC Swimfest Long Course	2019
DLOP Mladsha / Bulgarian Junior Championships	2019
RZO: Regionale Sommermeisterschaften 2019	2019
2019 Alpha Aquatics Internatio	2019
50. Lučkin pokal 2019	2019
Dragons Den International Open	2019
WI FSC Fond du Lac Swim Club SOS	2019
Mako Aquatics Club Spring Invitational	2019
CO TOPS Long Course Tri M	2019
VA STAT LC Invitational	2019
SEASAC Senior Swimming Championship	2019
Finis Cup	2019
TYF ULUSLARARASI MASTERLAR KIŞ YÜZME ŞAMPİYONASI	2019
IL LFSC Daniel Jaekel Friendship Classic	2019
RSR: Championnat Romand Eté	2019
NJ HACY Summer Solstice	2019
WI SSTY Schroeder Distance-Sprint Meet	2019
New Years Invitational	2019
X Copa Internacional Chorotega	2019
SC LSC Carolina Crown Challenge	2019
Prairie Winter International 2	2019
Landsbankamót 13 ára og eldri (National 13&Under)	2019
KAJ Snowfest	2019
29th Centralised SSPA	2019
TYR Pro Series Swim Time Trials	2019
OH BASH PCY Summer Classic	2019
IN FAST Summer Jam Invitational	2019
Western Zone Time Trials	2019
Mega Swim Meet	2019
AZ RIO LC Season Opener	2019
MD CBAC Spring LC Swim Meet	2019
GA SCAT Summer Sizzler	2019
MN MTKA Spring Long Course	2019
MR LIE June Summer Kickofff	2019
MW LSS Capital City Class	2019
2019 PN Dick LaFave A-1 Meet	2019
Polisen HEAD Summer Cup 2019	2019
Internationaler Basler Cup	2019
VA NOVA South Freedom Splash	2019
FG CSSC Coral Springs Invitational	2019
MI YPSI Aqua Splash and Dash	2019
International Bavarian Summer Championships	2019
OH GTAC Holy Toledo Invitational	2019
ST ASC Coup de Gras	2019
Long Course Bison Sprint/	2019
Alaska Long Course Championships	2019
GU ESCA Gulf June Long Cours	2019
NE NSSC Team Specialty at MIT	2019
NT ATAC Long Course A/BB/	2019
CA ORCA Summer Sizzler TF	2019
June Jubilee	2019
48. Internationales Eulach-Meeting	2019
GU ESCA Gulf May LC Meet	2019
NTS February Age Group Championships	2019
Färsingadoppet 2019	2019
IN BBSC Summer Splash	2019
3rd Annual Lyford Cay invitati	2019
IL WEST TYR Dive into Summer	2019
FL EAJ Summer Sizzler	2019
SE NAC All American Spring Classic	2019
UT SUSA LC Kickoff	2019
PV Early Bird LC Invitational	2019
